time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power
3/06/2019 15:30,0.9,1.2978128438886076,0.06975647374412552,-0.9975640502598242,9.08,82.4464,748.6133120000001,3.0,9.0,27.0,56.35
3/06/2019 16:30,0.89,1.2987148302430445,0.12186934340514755,-0.992546151641322,8.42,70.8964,596.947688,2.88,8.2944,23.887871999999998,38.3
3/06/2019 17:30,0.89,1.2992153165437046,0.12186934340514755,-0.992546151641322,7.72,59.5984,460.09964799999995,2.79,7.7841000000000005,21.717639000000002,27.10833333
3/06/2019 18:30,0.89,1.299258997079756,0.12186934340514755,-0.992546151641322,7.25,52.5625,381.078125,2.69,7.2360999999999995,19.465108999999998,30.60833333
3/06/2019 19:30,0.89,1.2998482391783874,0.12186934340514755,-0.992546151641322,7.1,50.41,357.91099999999994,2.57,6.604899999999999,16.974592999999995,18.50833333
3/06/2019 20:30,0.9,1.3012079536660184,0.13917310096006574,-0.9902680687415703,7.16,51.2656,367.06169600000004,2.58,6.6564000000000005,17.173512000000002,15.45833333
3/06/2019 21:30,0.9,1.2997369837510844,0.17364817766693028,-0.984807753012208,7.6,57.76,438.97599999999994,2.96,8.7616,25.934336,11.80833333
3/06/2019 22:30,0.89,1.2943744426303545,0.20791169081775931,-0.9781476007338057,8.48,71.91040000000001,609.800192,3.68,13.5424,49.836032,20.85
3/06/2019 23:30,0.86,1.2881006454730657,0.27563735581699966,-0.9612616959383187,9.23,85.19290000000001,786.3304670000001,4.54,20.6116,93.57666400000001,24.21666667
4/06/2019 00:30,0.82,1.283181277649111,0.3420201433256689,-0.9396926207859083,9.37,87.79689999999998,822.6569529999998,5.2,27.040000000000003,140.608,35.125
4/06/2019 01:30,0.79,1.2793714980505388,0.3420201433256689,-0.9396926207859083,9.04,81.72159999999998,738.7632639999998,5.53,30.580900000000003,169.112377,37.44166667
4/06/2019 02:30,0.75,1.2742356909512598,0.3420201433256689,-0.9396926207859083,8.58,73.6164,631.6287120000001,5.77,33.292899999999996,192.10003299999997,38.4
4/06/2019 03:30,0.72,1.2690301312551062,0.32556815445715703,-0.9455185755993167,8.28,68.55839999999999,567.6635519999999,5.94,35.28360000000001,209.58458400000004,41.06666667
4/06/2019 04:30,0.68,1.264657912113769,0.3090169943749475,-0.9510565162951535,8.16,66.5856,543.3384960000001,6.08,36.9664,224.75571200000002,53.70833333
4/06/2019 05:30,0.68,1.2672945861456433,0.3090169943749475,-0.9510565162951535,7.56,57.1536,432.0812159999999,5.81,33.756099999999996,196.12294099999997,54.88333333
4/06/2019 06:30,0.71,1.2728825739688987,0.29237170472273705,-0.9563047559630354,7.01,49.1401,344.47210099999995,5.22,27.248399999999997,142.23664799999997,50.375
4/06/2019 07:30,0.74,1.2772196390306296,0.22495105434386478,-0.9743700647852352,7.13,50.8369,362.46709699999997,4.58,20.9764,96.071912,43.59166667
4/06/2019 08:30,0.79,1.2837867589818446,0.17364817766693028,-0.984807753012208,7.34,53.8756,395.44690399999996,3.92,15.366399999999999,60.236287999999995,46.45833333
4/06/2019 09:30,0.83,1.2888809391190033,0.17364817766693028,-0.984807753012208,7.67,58.8289,451.21766299999996,3.53,12.460899999999999,43.986976999999996,48.43333333
4/06/2019 10:30,0.86,1.2915843684985095,0.258819045102521,-0.9659258262890682,8.21,67.40410000000001,553.3876610000002,3.45,11.902500000000002,41.06362500000001,45.79166667
4/06/2019 11:30,0.87,1.2944763003663675,0.4383711467890773,-0.898794046299167,8.1,65.61,531.4409999999999,3.25,10.5625,34.328125,52.89166667
4/06/2019 12:30,0.88,1.2976737978874224,0.5735764363510464,-0.8191520442889916,7.84,61.465599999999995,481.89030399999996,3.05,9.302499999999998,28.372624999999996,58.00833333
4/06/2019 13:30,0.9,1.2989998867612078,0.5735764363510464,-0.8191520442889916,8.18,66.91239999999999,547.3434319999999,3.09,9.5481,29.503628999999997,43.65833333
4/06/2019 14:30,0.91,1.299561736672023,0.5591929034707469,-0.8290375725550416,8.5,72.25,614.125,3.15,9.9225,31.255874999999996,32.88333333
4/06/2019 15:30,0.91,1.3008866957102259,0.5735764363510464,-0.8191520442889916,8.76,76.7376,672.221376,3.17,10.0489,31.855013,29.89166667
4/06/2019 16:30,0.9,1.3026068123549774,0.6156614753256584,-0.7880107536067219,9.0,81.0,729.0,3.16,9.985600000000002,31.554496000000004,23.10833333
4/06/2019 17:30,0.89,1.3040978242178,0.6427876096865395,-0.7660444431189779,9.07,82.26490000000001,746.142643,3.08,9.4864,29.218112,8.658333333
